fsq_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,station_id,distance_from_station,station_name
e42bfe831fdb48f2b3b9bcd4,Hamilton Market,10027,,,43.259138,-79.870395,55 York Blvd,L8R 3K1,024a3edf037cb411d16acc08a7fcb954,989,Bay at Strachan
4b6b5d23f964a520a7032ce3,Phoenix Bar & Grill,13065,,,43.262878,-79.921158,1280 Main St W (in The Refectory),L8S 4L8,0263c2af4dcdc215b9c81753a8df8a9a,414,MAC Rack ITB
52d077b2498e7b98e9c9ad26,Pinks Burgers,13065,,,43.257574,-79.918863,1335 Main St W,L8S 1C6,0263c2af4dcdc215b9c81753a8df8a9a,222,MAC Rack ITB
4c405e7a520fa593a3e6c7ac,Maple Leaf Pancake House,13065,,,43.257771,-79.923534,1520 Main St W,L8S 1E3,0263c2af4dcdc215b9c81753a8df8a9a,290,MAC Rack ITB
4c05f704517d0f475957f515,West End Restaurant,13065,,,43.253115,-79.921535,151 Emerson St,L8S 2Y1,0263c2af4dcdc215b9c81753a8df8a9a,678,MAC Rack ITB
4ba9734cf964a520f3273ae3,Tally Ho Restaurants,13065,,,43.257728,-79.924083,1536 Main St W,L8S 1E4,0263c2af4dcdc215b9c81753a8df8a9a,331,MAC Rack ITB
4bd3175477b29c74a2e18f82,Subway,13065,,,43.257574,-79.918863,1331 Main St W (at Broadway Ave.),L8S 1C6,0263c2af4dcdc215b9c81753a8df8a9a,222,MAC Rack ITB
4c09958fbbc676b0527f48d5,Joya Restaurant,13065,,,43.257727,-79.931316,1630 Main St W,L8S 1G3,0263c2af4dcdc215b9c81753a8df8a9a,889,MAC Rack ITB
4bb832a87421a5937ca4c140,Boston Pizza,13065,,,43.257231,-79.927615,1563 Main St W (Cottrill St.),L8S 1E6,0263c2af4dcdc215b9c81753a8df8a9a,624,MAC Rack ITB
4dbd4fd5107ff2aa48bfc7db,Tim Hortons,13065,,,43.257379,-79.922818,1445 Main St W (McMaster University),L8S 1C8,0263c2af4dcdc215b9c81753a8df8a9a,273,MAC Rack ITB
4b5bba3ff964a520991229e3,Williams Coffee Pub,13065,,,43.257365,-79.917947,1309 Main St W,L8S 1C5,0263c2af4dcdc215b9c81753a8df8a9a,282,MAC Rack ITB
4bbd019ca0a0c9b6891a1b0f,Wendy's,13065,,,43.257206,-79.929074,1585 Main St W,L8S 1E6,0263c2af4dcdc215b9c81753a8df8a9a,726,MAC Rack ITB
4d59b50156f2b60cfbf77b2f,Cedars,13065,,,43.257366,-79.920822,1355 Main St E,L8K 1B6,0263c2af4dcdc215b9c81753a8df8a9a,202,MAC Rack ITB
4dbd527f107ff2aa48bfd46e,Williams Fresh Cafe,13065,,,43.260508,-79.918528,1280 Main St W,L8S 4L8,0263c2af4dcdc215b9c81753a8df8a9a,217,MAC Rack ITB
4b9c1158f964a520c64636e3,Cedar Falafel Donair,13065,,,43.257567,-79.918955,1335 Main St W,L8S 1C6,0263c2af4dcdc215b9c81753a8df8a9a,218,MAC Rack ITB
5a8ef9728c812a571e51c034,Quik Chik,13065,,,43.257477,-79.918661,1331 Main St W,L8S 1C6,0263c2af4dcdc215b9c81753a8df8a9a,240,MAC Rack ITB
4c2566e25c5ca593f46e44fe,Gino's Pizza,13065,,,43.257292,-79.918166,1309 Main St W (at Broadway Ave),L8S 1C5,0263c2af4dcdc215b9c81753a8df8a9a,282,MAC Rack ITB
5bca375ec9a517002c66d77a,The Arch Noodle House,13065,,,43.257196,-79.917964,1309 Main St W,L8S 1C5,0263c2af4dcdc215b9c81753a8df8a9a,301,MAC Rack ITB
5ccb43e004d1ae002c093e13,DoughBox Wood Fired Pizza & Pasta,13065,,,43.257484,-79.923624,1457 Main St. W. (Norfolk St. S.),L8S 1C9,0263c2af4dcdc215b9c81753a8df8a9a,315,MAC Rack ITB
51156ce4e4b085b16920537a,Beijing Hut,13065,,,43.257442,-79.924173,1467 Main St W,L8S 1C9,0263c2af4dcdc215b9c81753a8df8a9a,354,MAC Rack ITB
5fca123c0d6d9d74b5efc9db,The Chopped Leaf,13065,,,43.26239,-79.92024,1280 Main St W,L8S 4L8,0263c2af4dcdc215b9c81753a8df8a9a,357,MAC Rack ITB
5463a27a498e7f1d294987f0,Heritage Burgers,13065,,,43.257429,-79.925052,1481 Main St W (Main St W & Thorndale),L8S 1E1,0263c2af4dcdc215b9c81753a8df8a9a,416,MAC Rack ITB
