yelp_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,fsq_id,poi_id,poi_category
QpcA0ywhbZq7VIZgwxYIEQ,Everest Tandoori Kitchen,restaurants,4.0,1,43.258141,-79.871022,2 King Street West,L8P 1A1,,JE6453,restaurants
XqZOIEbNX7mdIg1Cwb1RWw,Famous Recipe,restaurants,4.8,10,43.2580694,-79.8740306,158 King Street W,L8P 1A6,,JX3911,restaurants
VGhO7cGnxPci6fZ5SpZu2Q,Fat Bastard Burrito,restaurants,3.5,4,43.25951,-79.94338,101 Osler Dr,L9H 4H6,,OH4999,restaurants
41GkM7fMd87uPDY1MFOVlg,Festival Café,restaurants,4.4,5,43.25064,-79.83303,1013 King St E,L8M 1C9,,RO1361,restaurants
pLdkorlkziPeCEpUCDjM-Q,Firestone Pizza Wings & Shawarma,restaurants,2.3,19,43.25804,-79.87967,54 Queen Street S Unit 7,L8P 3R5,,RU0419,restaurants
FoDP0xRLSSwoUV5NAGchng,Firth's Celtic Pub,restaurants,3.8,5,43.241147731671,-79.8760308579615,543 Upper James Street,L9C 2Y5,,NH9473,restaurants
lNV4SuxkSSOxG-zpsn-5JQ,Fishing Sushi,restaurants,4.4,5,43.24097,-79.85299,542 Concession Street,L8V 1A9,,TA4027,restaurants
1uyQbSngbl5TY_yRszHA-g,Flavours Latin Cuisine,restaurants,5.0,1,43.234668,-79.792452,261 Queenston Road,L8K 1G9,,TS1664,restaurants
r4sCz4achOJbIj6YWtDa4w,Flora Hamilton,restaurants,4.8,8,43.25109,-79.87098,4 Young Street,L8N 1T9,,PL9327,restaurants
4q0Cr8BXx5zmSWVkhm761w,Fm Sound & Amusements,amusementparks,0.0,0,43.24535,-79.83534,34 Albert Street,L8M 2X9,,OX1793,amusementparks
94gmqxVnYkgp5TiLgRilAQ,Food Box,restaurants,3.7,9,43.2456701661846,-79.80732511729,180 Kenilworth Avenue N,L8H 4S1,,HX0552,restaurants
mY_x1PBUII7BkFnXJNkgSA,Forbidden City Chinese Restaurant,restaurants,2.6,14,43.254176397043,-79.8611821524202,273 King Street E,L8N 1B9,,JB9382,restaurants
iNswooJmWC80FjUru0E-XA,Frank & Teresa's Anchor Bar,restaurants,2.5,49,43.2581416,-79.872937,120 King Street W,L8P 1A1,,VV2577,restaurants
bqA36K-h6OBApD2U00C4lg,Freshii,restaurants,0.0,0,43.258167,-79.943141,101 Osler Dr Dundas ON,L9H 6X6,,XN2534,restaurants
LsWMvb8FGTTihrbrl7inQQ,Freshslice Pizza,restaurants,0.0,0,43.25036925455777,-79.8099755,1241 Barton Street E,L8H 2V4,,VE7067,restaurants
yeMbzzSobJisXx1ncVGq-g,Freshslice Pizza,restaurants,0.0,0,43.25307,-79.85475,473 King Street E,L8N 1C7,,NP5731,restaurants
A5n3oXSwcHR6DDR-f450ag,Friends of Hmcs Haida,museums,0.0,0,43.2710099,-79.83788,208 Hillyard Street,L8L 6B6,,IE1979,museums
QTPaDH8HpzmjDAncjBHCkg,Fuwa Fuwa,restaurants,0.0,0,43.26095,-79.90717,2 Newton Avenue,L8S 1V7,,ZX6478,restaurants
sdF75N_Oc03ZG1qUqHUobw,Gage Park Diner,restaurants,4.3,8,43.24506,-79.82929,975 Main Street E,L8M 1N2,,TU0459,restaurants
XgIuY0bC1b9qxXWQXibScg,Gate of India,restaurants,3.1,31,43.2618967,-79.866767,201 James Street N,L8R 2L2,,AF1975,restaurants
JUhE8hSxCjj5cdPKlkdf3w,General Bread & Pastry,restaurants,5.0,2,43.263778,-79.865533,298 James Street N,L8R 2L3,,OJ9020,restaurants
c7GsifuqQKpgE3hZADqQQA,General Pizza & Wings,restaurants,4.0,2,43.2610581633797,-79.8539271578193,274 Barton Street E,L8L 2X3,,WS1811,restaurants
