fsq_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,yelp_id,poi_id,poi_category
e5ed2d3b6b6b41bb227d2cb7,Caribbean Canadian Fast Food,13065,,,43.236821,-79.835523,954 Concession St,L8V 1G2,,QS1358,restaurants
56a3bcc1498e42e6063c14ff,Caribbean Flavah,13065,,,43.258345,-79.911065,1122 Main St W (Cline Avenue South),L8S 1C1,,OM6353,restaurants
5b63f1cde1f228002c38eddb,Caribbean Vibe,13065,,,43.248694,-79.829456,1127 King St E,L8M 1E5,,KF4509,restaurants
5aa5c1e5a9e40267b354ada3,Caro Restaurant & Bar,13065,,,43.242691,-79.819501,4 Ottawa St N (Main St E),L8H 3Y7,,LS2996,restaurants
1720ff9a1b354dce879846f3,Castelli Cucina,13065,,,43.26481,-79.865743,337 James St N,L8L 1H3,,EB3569,restaurants
4b5a9368f964a52019cc28e3,Cat 'N' Fiddle,13065,,,43.251502,-79.868593,174 John St S (Augusta St),L8N 2C6,,HA4416,restaurants
4b9c1158f964a520c64636e3,Cedar Falafel Donair,13065,,,43.257567,-79.918955,1335 Main St W,L8S 1C6,,KS9755,restaurants
4d59b50156f2b60cfbf77b2f,Cedars,13065,,,43.257366,-79.920822,1355 Main St E,L8K 1B6,,UM0905,restaurants
4eadcc8802d5cf33fa947ceb,Chan's Chinese Restaurant,13065,,,43.265991,-79.950953,49 1/2 King St E (York St.) Dundas ON,L9H 1B7,,VH4918,restaurants
520e97ce498e3ee7817abaf4,Charred,13065,,,43.262759,-79.866231,244 James St N (btwn Robert St & Colbourne St),L8R 2L3,,FI5995,restaurants
4b53cefdf964a52005ac27e3,Che Burrito & Lounge,13065,,,43.257993,-79.877991,38 Hess St S (Main Street West),L8P 3N1,,MM5852,restaurants
5d3a1d45738217000833e31f,Cherry Birch General,13065,,,43.254756,-79.862653,219 King St E,L8N 1B6,,RR4869,restaurants
9c74868f40f044f675b1ddf9,Chester's Fried Chicken,13065,,,43.253869,-79.881419,180 Queen St N,L8R 2W1,,VJ3096,restaurants
63683d97daeb7f1ee11cf726,Chicken Plus,13065,,,43.25953,-79.866752,1 Wilson St,L8R 1C4,,KC2300,restaurants
a49180b610ee423514646ed1,China City Restaurant,13065,,,43.250087,-79.828068,49 Gage Ave S,L8M 3C8,,FN4754,restaurants
4562ed28cb9a432478dff6f6,Chinese BBQ Zone,13065,,,43.259502,-79.867118,1 Wilson St,L8R 1C4,,RM4460,restaurants
a5e6de69975849369e63e2ad,Cho Sun Ok Korean BBQ Restaurant,13065,,,43.26198,-79.877785,85 Queen St N,L8R 2V5,,YJ3991,restaurants
60f8a82ca2148b05a7c2d80d,Chung Chun Rice Hotdog,13065,,,43.261188,-79.906865,1051 King St W,L8S 1L6,,IZ6343,restaurants
4d24b679daa9370412eec781,Churrasqueira & Cafe Cantinho,13065,,,43.260726,-79.852672,302 Barton St E,L8L 2X5,,FE8645,restaurants
4c993353a004a1cd14af3d6e,City Pizza & Wings,13065,,,43.25004,-79.847623,581 Main St E,L8M 1H9,,AU2556,restaurants
2e9860a54a7146dc34bf1ccf,City of Waterfalls Festivals and Events Inc,10001,,,43.258807,-79.840524,Gd Stn Lcd 1,L8L 7T4,,RI5096,amusementparks
4c9ebb0d7c096dcbd166d8d1,Classic Cafe,13065,,,43.262413,-79.866358,224 James St N,L8R 2L3,,EV1988,restaurants
4af9ae03f964a520481322e3,Collins Brewhouse,13065,,,43.266392,-79.955149,33 King St W (btwn Sydenham Rd and Cross St) Dundas ON,L9H 1T5,,JQ1470,restaurants
49bc6fa47733454efb1041a3,Com Tan Lac Vien,13065,,,43.265382,-79.880819,430 York Blvd,L8R 3K8,,YA7928,restaurants
bba7a8a8b18d4bd8281b2a94,Concession Pizza,13065,,,43.240636,-79.851368,576 Concession St,L8V 1B1,,SA3636,restaurants
4d26ebe36e27a14345c50924,Connaught Fish & Chips,13065,,,43.244989,-79.830363,976 Main St E (Gage Ave),L8M 1M8,,DD7091,restaurants
63c1a2ff3e61ee33b8f488f1,Conversate steak and seafood,13065,,,43.256697,-79.866504,38 William St (John St. N.),L8L 5T7,,OL0613,restaurants
8cd5eadba5614d8443828c85,Cookie DOH,13065,,,43.266046,-79.955275,24 King St W Dundas ON,L9H 1T7,,CD7289,restaurants
bc28687ecfa4498f771d9ca2,Cool Like That Restaurant,13065,,,43.236769,-79.835468,954 Concession St,L8V 1G2,,CM1575,restaurants
579b8d6b498ea8f02d7fc402,Coop Hamilton,13065,,,43.259153,-79.877446,274 King St W,L8P 1J6,,KK9783,restaurants
4c184919834e2d7f17be2880,Corktown,13065,,,43.25891,-79.838455,200 Forest Ave,L8N 4E6,,ST4726,restaurants
505cfaeae4b0478c0a01bba4,Corner Tea House & Asian Bistro,13065,,,43.256711,-79.866321,29 John St N (King William St),L8R 1H1,,DF4291,restaurants
5b7da2a51ffe97002cb5b180,Country Style,13065,,,43.257728,-79.841456,564 Barton St E,L8L 2Z3,,CL2248,restaurants
4e9ed765775b7e725b844463,Country Style,13065,,,43.255439,-79.873386,71 Main St W (Bay Street),L8P 4Y5,,WB7003,restaurants
5a0df2279f0942136c661fdb,Cravings,13065,,,43.25718,-79.93331,1686 Main St W,L8S 0A2,,ML4953,restaurants
5c2d17dcf62e09002c5232eb,Crown Point Sandwhich,13065,,,43.247663,-79.81737,186 Ottawa St N,L8H 3Z5,,FT5924,restaurants
5cba0b96286fda00397348dc,Crumbled,13065,,,43.260624,-79.851078,339 Barton St E,L8L 2X6,,SM4261,restaurants
42bc5cd295eb4b34b60166e2,Crumbuns Bakeshop,13065,,,43.238257,-79.842299,566 Concession St,L8V 1B1,,FP2544,restaurants
4b8a9f8bf964a520d07532e3,Crystal Dynasty Chinese Restaurant,13065,,,43.261938,-79.871796,94 Cannon St W (Bay),L8R 2B6,,AE9095,restaurants
09181f5c0ef94a7b7f309eda,Culantro Peruvian Cookery,13065,,,43.250131,-79.848612,537 Main St E,L8M 1H9,,DX1401,restaurants
4e380de71838d056d2786123,Cupcake Diner,13065,,,43.259034,-79.870285,35 York Blvd,L8R 3K7,,PG6232,restaurants
4b9fe09df964a520c54637e3,Cupcakes,13065,,,43.261608,-79.907215,1050 King St W,L8S 1L5,,PU1292,restaurants
5557715d498e63ff898f0e2b,Curbside Grill,13065,,,43.248751,-79.817042,224 Ottawa St N,L8H 3Z6,,DV6559,restaurants
5ced96f6c4df1d002c2fd273,D C's Variety & Subs,13065,,,43.268156,-79.841869,540 1/2 Wentworth St N,L8L 5X3,,PU4838,restaurants
4b65105df964a52042e22ae3,D's Cafe,13065,,,43.261945,-79.871705,94 Cannon St W,L8R 2B6,,WQ0991,restaurants
9ed52758870945ac34a6d333,De Rosa Bakery,13065,,,43.253881,-79.845675,549 Wilson St,L8L 1T6,,GP7170,restaurants
4c068792517d0f47a91ef615,DeRosa Bakery and Restaurant,13065,,,43.253411,-79.845967,71 Sanford Ave N,L8L 5Y9,,OI6190,restaurants
6927a31da9b248f1cebd53af,Debbie's Fish and Chips,13065,,,43.261889,-79.85936,150 Barton St E,L8L 2W5,,DK9169,restaurants
51d75f4e498ef5f34b71c700,Delirious Burger Co,13065,,,43.262405,-79.905588,1008 King St W,L8S 1L4,,NL0732,restaurants
5aa40afc79f6c75d6ee4bd7d,Delirious Burger Co,13065,,,43.254883,-79.885671,197 Locke St S,L8P 4B5,,YR9238,restaurants
522c798311d2d05dcc962383,Democracy,13065,,,43.254737,-79.88611,202 Locke St S (Tuckett St.),L8P 4B4,,VO3616,restaurants
f269a7d50c764bf3e5bd8bf4,Dengi's Kitchen,13065,,,43.252714,-79.85285,535 King St E,L8N 1E3,,LZ3573,restaurants
4d376a3515993704d9d3ae91,Detour Roaster's Cafe,13065,,,43.266194,-79.955532,41B King St W (Miller's Line) Dundas ON,L9H 1T5,,LQ7736,restaurants
57e2b71b498e2013c1b4a746,Diamantinos Pizza,13065,,,43.260573,-79.851023,341 Barton St E,L8L 2X6,,IO6404,restaurants
52a1447a11d21f017e3a4b8e,Diana's Pizza & Grill,13065,,,43.248307,-79.80677,263 Kenilworth Ave N,L8H 4S6,,QP5115,restaurants
4b6e4350f964a520f8b42ce3,Dizzy Weasel Pub & Grub,13065,,,43.25346,-79.824927,912 Barton St E,L8L 3C2,,JG7446,restaurants
577d35ee498ec0fb574ff1b7,Domino's Pizza,13065,,,43.23978,-79.808584,1440 Main St E,L8K 6M3,,EB5070,restaurants
c5b20792878dbe34a57fbda9,Domino's Pizza,13065,,,43.263811,-79.866363,275 James St N,L8R 2L4,,FR3733,restaurants
4de00572c65bcc724f348c8a,Domino's Pizza,13065,,,43.26267,-79.952657,86 Main St (Osler Dr) Dundas ON,L9H 2R1,,MC6348,restaurants
4e71396c8877dff6bcb79032,Donairs at Gage,13065,,,43.248746,-79.829511,1127 King St E,L8M 1E5,,BU6457,restaurants
5a63671797cf5a4b8c7829b5,Donut Monster,13065,,,43.253231,-79.886782,246 Locke St S,L8P 4B9,,MU9237,restaurants
4b4c0ed0f964a520bead26e3,Doors Pub & Pizzeria,13065,,,43.257353,-79.8783,56 Hess St S (at Main St),L8P 3N3,,NG0767,restaurants
4c700889f52cb7134b41acaf,Dora's Delicatessen & Catering,13065,,,43.248575,-79.817152,218 Ottawa St N,L8H 3Z6,,GG1675,restaurants
4bac1722f964a52095e33ae3,Double Double Pizza & Chicken,13065,,,43.250127,-79.86901,225 John St S (Forest),L8N 2C7,,BF8713,restaurants
